timestamp,auth_type,environment,region,instance_id,request_id,request_method,request_path,client_id,client_type,source_ip,response_status_code,response_time_ms,operation_type,operation_success,user_id,tenant_id,mfa_used,ip_reputation,correlation_id,is_anomalous
2025-04-17T01:38:26.631267,saml,dev,eu-central,auth-primary-eu-central-2,req-b50fa2180ed64d62,POST,/auth/token,client-006de9ca,internal-service,148.161.234.176,200,205.24,login,True,b8c91c3d-947a-4a18-a717-401182ebb766,tenant-46,False,safe,071e4b33-db0c-454d-9c86-2d801267129f,False
2025-03-30T18:08:11.140477,api-key,test,global,auth-failover-global-1,req-96e45eacfd48475b,POST,/auth/token/validate,client-df5a6a38,admin-portal,47.76.218.94,200,51.12,token_validation,True,cc394b8b-79bb-42af-bdc0-8ad4c00cd428,tenant-8,False,safe,97076a68-562c-4819-a053-b79dba73ea50,False
2025-03-28T01:08:09.357739,basic,test,us-east,auth-primary-us-east-2,req-5d7ec64efb734f15,POST,/auth/register,client-fee4cd24,mobile-ios,6.15.198.94,201,296.84,register,True,63ec6d7b-021b-46cf-8dfc-d53e5019a542,tenant-47,False,safe,ec257eba-6382-4eb7-be0d-8858a27ffa33,False
2025-03-29T04:20:14.750369,basic,test,us-west,auth-replica-us-west-5,req-eb84bd762d2b4492,POST,/auth/token,client-5dc51d72,admin-portal,21.115.58.115,200,163.86,login,True,fffeada3-077d-4658-9ba2-8290b74a980f,tenant-76,False,safe,b8b12f46-4e48-4cae-b118-832d785c7eae,False
2025-04-11T20:52:31.573842,basic,test,us-east,auth-failover-us-east-4,req-dc441a9f4d614357,POST,/auth/token,client-8d8e95f4,internal-service,97.152.93.84,200,171.53,login,True,05eb4477-739a-46c9-badb-3c02428b55ca,tenant-84,False,safe,5c9a3db1-341e-4491-b0ae-dcc9e7a4d328,False
2025-04-08T11:44:58.778571,jwt,test,us-west,auth-backup-us-west-1,req-0e4912b82ceb4aab,GET,/auth/permissions/check,client-b8d6ad2a,mobile-android,151.84.129.163,403,372.09,permission_check,False,f9b3ada1-846d-4bf2-9731-82d574c928b1,tenant-12,False,safe,afd12232-2440-4976-bf2e-2d92b215c632,True
2025-04-02T02:44:00.694338,api-key,test,global,auth-backup-global-1,req-84c37c23c8ec4d05,POST,/auth/token,client-55db2996,desktop-app,7.102.105.159,200,227.7,login,True,469fd300-6536-4b45-8586-3b3f64c7aa4f,tenant-30,False,safe,d4baa4a3-8f79-42be-a3db-6d6f26f2a70d,False
2025-03-24T02:47:55.752411,saml,dev,us-east,auth-replica-us-east-2,req-77432d91cec94883,POST,/auth/token/refresh,client-2d481193,third-party-service,241.115.22.213,200,105.39,token_refresh,True,b22ce0aa-a140-43f7-bcd3-0ad4e44d9181,tenant-26,False,safe,f82f439e-860d-4f5a-919a-1ddc33a70e6d,False
2025-04-05T02:39:51.728089,oidc,dev,us-west,auth-primary-us-west-2,req-4a945fba3be040dc,POST,/auth/token,client-a5537833,admin-portal,26.244.207.114,200,218.54,login,True,5efbfeb3-7266-4267-9f57-25b8f334e1b1,tenant-21,False,safe,28b4e0f7-285c-4cb2-b8b8-644f0dd68539,False
2025-03-22T02:08:09.607384,oidc,test,global,auth-replica-global-5,req-f3e4dc56902a4387,POST,/auth/token/validate,client-ecb6e33d,web-app,252.59.143.77,200,40.73,token_validation,True,bba28f61-ea08-4f3f-9ebb-65701704a0f3,tenant-75,False,safe,b1bc0288-49d0-4703-be01-d1dd867eafc5,False
